Id;FirmenNr;HaeuserNr;ETRS_UTM33N_X;ETRS_UTM33N_Y;Firma;Vorlage;FlurstuecksNr;BrandkatasterNr;Hausname;HausNr;Strasse;Strassenteil;Stadtteil;Gewerbename;Gewerbetyp;STR_NAME_2018;HNR_2018;PLZ_2018;FLURSTUECKSNR_2018;SBZ_NR_2018;SBZ_NAME_2018;OT_NR_2018;OT_NAME_2018;Unnamed: 23
1;157;1.0;317285.0339;5693054.0215;Fischer & Co., Verlag;Fischer & Co., Verlag;2699m;25G3;;22;Aeußere Hallische Straße;1 - 9 und 2 - 24;Alt-Leipzig;Verlagsbuchhandlung;Buchhandel und Verlagswesen;Georg-Schumann-Straße;22;4155.0;2699m;0.0;Mitte;6.0;Zentrum-Nord;
2;2;2.0;316618.21;5693443.859;Otto Möbius;Möbius, Otto;297;49;;74;Aeußere Hallische Straße;11 - 165 und 36 - 144a;Gohlis;Buchbinderei;Buchbinderhandwerk;Georg-Schumann-Straße;0;4155.0;1937;9.0;Nord;90.0;Gohlis-Süd;
3;1;3.0;316230.7296;5693562.59699999;Georg Kelterborn;Kelterborn, Georg;274c;355B;;121;Aeußere Hallische Straße;11 - 165 und 36 - 144a;Gohlis;Buchbinderei;Buchbinderhandwerk;Georg-Schumann-Straße;121;4155.0;274c;9.0;Nord;90.0;Gohlis-Süd;
4;923;4.0;315460.7026;5693905.74589999;Schumann & Trommer;Schumann & Trommer, Inh.: F. Schumann u. J. Trommer;217a;241B;;160;Aeußere Hallische Straße;167 - 293 und 146 - 268;Möckern;Buchdruckerei;Druckerei und Buchhandel;Georg-Schumann-Straße;160;4159.0;217a;8.0;Nordwest;80.0;Möckern;
5;922;5.0;316529.601;5693440.582;Robert Saupe;Saupe, Robert;210b/210a;350B/350C;;91/93;Aeußere Hallische Straße;11 - 165 und 36 - 144a;Gohlis;Buchdruckerei;Druckerei und Buchhandel;Georg-Schumann-Straße;91/93;4155.0;210a;9.0;Nord;90.0;Gohlis-Süd;
6;158;6.0;314649.537299999;5694345.98259999;Rudolf Mejo;Mejo, Rudolf, Inh.: Georg W. Strübig;229k;219B;;248;Aeußere Hallische Straße;167 - 293 und 146 - 268;Möckern;Verlagsbuchhandlung;Buchhandel und Verlagswesen;Georg-Schumann-Straße;248;4159.0;229k;8.0;Nordwest;80.0;Möckern;
7;159;6.0;314649.537299999;5694345.98259999;G. W. Strübig;Strübig, Georg W.;229k;219B;;248;Aeußere Hallische Straße;167 - 293 und 146 - 268;Möckern;Verlagsbuchhandlung;Buchhandel und Verlagswesen;Georg-Schumann-Straße;248;4159.0;229k;8.0;Nordwest;80.0;Möckern;
8;160;7.0;316883.4216;5693300.52449999;O. Roßberg;Roßberg, O.;172q;77D;;49;Aeußere Hallische Straße;11 - 165 und 36 - 144a;Gohlis;Sortimentsbuchhandlung;Buchhandel und Verlagswesen;Georg-Schumann-Straße;49;4155.0;172q;9.0;Nord;90.0;Gohlis-Süd;
9;161;8.0;315363.968799999;5693915.94629999;E. Böttcher;Böttcher, E.;135;102;;205;Aeußere Hallische Straße;167 - 293 und 146 - 268;Möckern;Antiquariatsbuchhandlung;Buchhandel und Verlagswesen;Georg-Schumann-Straße;205;4159.0;135;8.0;Nordwest;80.0;Möckern;
10;162;9.0;314279.1507;5691077.2968;Alfred Fischer;Fischer, Alfred;359b;718;;29;Albertinerstraße;;Lindenau;Kolportagebuchhandlung;Buchhandel und Verlagswesen;Erich-Köhn-Straße;29;4177.0;359b;7.0;Alt-West;71.0;Altlindenau;
11;924;10.0;317405.63800000004;5689850.281;Carl Koppe;Carl Koppe, Inh.: Wilhelm Stephan;1032;270;;13;Albertstraße;;Alt-Leipzig;Buchdruckerei;Druckerei und Buchhandel;Riemannstraße;0;4107.0;4119/3 und 4535;0.0;Mitte;3.0;Zentrum-Süd;
12;163;11.0;317389.76300000004;5689855.837;A. Kupfer's Nachfolger;Kupfer's Nachfolger, A.;1033;269;;15;Albertstraße;;Alt-Leipzig;Kolportagebuchhandlung;Buchhandel und Verlagswesen;Riemannstraße;0;4107.0;4119/3 und 4535;0.0;Mitte;3.0;Zentrum-Süd;
13;164;12.0;316995.90579999896;5689933.90939999;R. Dallmeier;R. Dallmeier, Inh.: Richard Dallmeier;888d;123G;;31;Albertstraße;;Alt-Leipzig;Groß-Antiquariatsbuchhandlung;Buchhandel und Verlagswesen;Riemannstraße;31;4107.0;888d;0.0;Mitte;3.0;Zentrum-Süd;
14;925;12.0;316995.90579999896;5689933.90939999;Paul Laban;Laban, Paul;888d;123G;;31;Albertstraße;;Alt-Leipzig;Buchdruckerei;Druckerei und Buchhandel;Riemannstraße;31;4107.0;888d;0.0;Mitte;3.0;Zentrum-Süd;
15;165;13.0;315809.7311;5691438.9359;"Verlag des ""Handelsgesellschafter"" (J. Bauer)";"Verlag des ""Handelsgesellschafter"" (J. Bauer), Inh.: Josef Bauer";2098h;1424U;;14;An der alten Elster;;Alt-Leipzig;Verlagsbuchhandlung;Buchhandel und Verlagswesen;Friedrich-Ebert-Straße;116;4105.0;2098h;0.0;Mitte;5.0;Zentrum-Nordwest;
16;166;14.0;315618.5614;5691675.62609999;Jordan & Co.;Jordan & Co., Inh.: Herm. Eisenschmidt;2097i;1424E20;;16;An der alten Elster;;Alt-Leipzig;Verlagsbuchhandlung;Buchhandel und Verlagswesen;Friedrich-Ebert-Straße;120;4105.0;2097i;0.0;Mitte;5.0;Zentrum-Nordwest;
17;167;15.0;318318.452;5691159.574;Arthur Kade;Arthur Kade, Inh.: Walther Fiedler;1653w;967;;1;An der Milchinsel;;Alt-Leipzig;Verlags-, Versand- u. Exportbuchhandlung;Buchhandel und Verlagswesen;An der Milchinsel;0;4103.0;1653/14;0.0;Mitte;1.0;Zentrum-Ost;
18;168;15.0;318318.452;5691159.574;Walther Fiedler, Verlagsbuchhandlung,;Walther Fiedler, Verlagsbuchhandlung;1653w;967;;1;An der Milchinsel;;Alt-Leipzig;Verlagsbuchhandlung;Buchhandel und Verlagswesen;An der Milchinsel;0;4103.0;1653/14;0.0;Mitte;1.0;Zentrum-Ost;
19;169;16.0;313612.0723;5688838.3968;A. Badstübner;Badstübner, A.;303p;407;;43;Antonienstraße;;Kleinzschocher;Verlagsbuchhandlung;Buchhandel und Verlagswesen;Antonienstraße;43;4229.0;303p;5.0;Südwest;52.0;Kleinzschocher;
20;4;17.0;318457.49100000004;5690627.892999999;Oskar Richter;Richter, Oskar;1519;831;;11;Antonstraße;;Alt-Leipzig;Buchbinderei;Buchbinderhandwerk;--;0;4103.0;1519/1;0.0;Mitte;2.0;Zentrum-Südost;
21;926;17.0;318457.49100000004;5690627.892999999;Ernst Schmidt;Schmidt, Ernst;1519;831;;11;Antonstraße;;Alt-Leipzig;Buchdruckerei;Druckerei und Buchhandel;--;0;4103.0;1519/1;0.0;Mitte;2.0;Zentrum-Südost;
22;1365;17.0;318457.49100000004;5690627.892999999;Leonhard Geyer;Geyer, Leonhard, Atelier für Airo-Zeichnung, Maschinen-Retusche u. Lithogr.;1519;831;;11;Antonstraße;;Alt-Leipzig;Zinkographische Anstalt;Graphische Anstalt;--;0;4103.0;1519/1;0.0;Mitte;2.0;Zentrum-Südost;
23;170;18.0;318453.787;5690574.447000001;W. Dietze;Dietze, W.;1524;826;;21;Antonstraße;;Alt-Leipzig;Kolportagebuchhandlung;Buchhandel und Verlagswesen;--;0;4103.0;4496;0.0;Mitte;2.0;Zentrum-Südost;
24;1129;19.0;320151.176199999;5688827.85969999;P. Scheffel;Scheffel, P.;38n;282F;;9;Arnoldstraße;;Stötteritz;Buchdruckerei;Druckerei und Buchhandel;Arnoldstraße;9;4299.0;38n;3.0;Südost;31.0;Stötteritz;
25;171;20.0;320145.7001;5688711.1609;A. Rudolph;Rudolph, A.;39f;261;;22;Arnoldstraße;;Stötteritz;Kolportagebuchhandlung;Buchhandel und Verlagswesen;Arnoldstraße;22;4299.0;39f;3.0;Südost;31.0;Stötteritz;
26;172;21.0;318907.060899999;5690566.77969999;Friedrich W. Trotzky & Co;Friedrich W. Trotzky & Co., Inh.: Richard Ehlert;267;504B;;13;Augustenstraße;;Reudnitz;Verlagsbuchhandlung;Buchhandel und Verlagswesen;Augustenstraße;13;4317.0;267;3.0;Südost;30.0;Reudnitz-Thonberg;
27;174;21.0;318907.060899999;5690566.77969999;Richard Ehlert;Richard Ehlert, Verl. Buchhdlg;267;504B;;13;Augustenstraße;;Reudnitz;Verlagsbuchhandlung;Buchhandel und Verlagswesen;Augustenstraße;13;4317.0;267;3.0;Südost;30.0;Reudnitz-Thonberg;
28;173;22.0;318950.189299999;5690686.0906;Journal für Buchbinderei, M. Päcke;Journal für Buchbinderei, M. Päcke, Inh.in: Hedwig Päcke;810;482;;22;Augustenstraße;;Reudnitz;Verlagsbuchhandlung;Buchhandel und Verlagswesen;Augustenstraße;22;4317.0;810;3.0;Südost;30.0;Reudnitz-Thonberg;
29;175;23.0;317603.15;5690170.956;Martin Starke;Martin Starke;1224q;485;;4;Bauhofstraße;;Alt-Leipzig;Reisebuchhandlung;Buchhandel und Verlagswesen;Bauhofstraße;0;4103.0;1224q;0.0;Mitte;2.0;Zentrum-Südost;
30;176;24.0;317454.142599999;5689536.27999999;Paul Radestock Sortiment u. Antiquariat;Paul Radestock Sortiment u. Antiquariat;1106b;372;;17;Bayersche Straße;;Alt-Leipzig;Sortimentsbuchhandlung;Buchhandel und Verlagswesen;Arthur-Hoffmann-Straße;13;4107.0;1106b;0.0;Mitte;3.0;Zentrum-Süd;
31;177;25.0;317552.217;5689719.179;Carl August Dittrich;Carl August Dittrich, Inh.: Robert Steuernagel;1115/2466;385B;;2;Bayerscher Platz;;Alt-Leipzig;Sortimentsbuchhandlung;Buchhandel und Verlagswesen;Bayrischer Platz;0;4103.0;3835/25;0.0;Mitte;2.0;Zentrum-Südost;
32;179;26.0;317491.363;5689807.815;Arthur R. Teichmann;Arthur R. Teichmann, Monistische Zentral-Buchhdlg;1027;343;;4;Bayersche Straße;;Alt-Leipzig;Verlagsbuchhandlung;Buchhandel und Verlagswesen;Arthur-Hoffmann-Straße;0;4107.0;1013/3;0.0;Mitte;3.0;Zentrum-Süd;
33;1108;26.0;317491.363;5689807.815;Teichmann & Co.;Teichmann & Co., Inh.in: Frau A. E. Teichmann;1027;343;;4;Bayersche Straße;;Alt-Leipzig;Buchdruckerei;Druckerei und Buchhandel;Arthur-Hoffmann-Straße;0;4107.0;1013/3;0.0;Mitte;3.0;Zentrum-Süd;
34;1108;26.0;317491.363;5689807.815;Teichmann & Co.;Teichmann & Co., Inh.in: Frau A. E. Teichmann;1027;343;;4;Bayersche Straße;;Alt-Leipzig;Verlagsanstalt und Buchdruckerei;Buchhandel und Verlagswesen;Arthur-Hoffmann-Straße;0;4107.0;1013/3;0.0;Mitte;3.0;Zentrum-Süd;
35;5;27.0;317486.071;5689788.632999999;G. Herbrich;Herbrich, G.;1060;344;;6;Bayersche Straße;;Alt-Leipzig;Buchbinderei;Buchbinderhandwerk;Arthur-Hoffmann-Straße;0;4107.0;1060/1;0.0;Mitte;3.0;Zentrum-Süd;
36;1685;27.0;317486.071;5689788.632999999;Mohr & Dutzauer;Mohr & Dutzauer, Inh. Herm. Dutzauer u. Moritz Micholitz;1060;344;;6;Bayersche Straße;;Alt-Leipzig;Papier-Engrosgeschäft;Papierhandlung/Papierherstellung;Arthur-Hoffmann-Straße;0;4107.0;1060/1;0.0;Mitte;3.0;Zentrum-Süd;
37;182;28.0;317474.165;5689721.164;Hegel & Schade;Hegel & Schade, Inh.: Karl Hegel u. Paul Schade;1058;346;;12;Bayersche Straße;;Alt-Leipzig;Verlagsbuchhandlung;Buchhandel und Verlagswesen;Arthur-Hoffmann-Straße;0;4107.0;4538 und 4539;0.0;Mitte;3.0;Zentrum-Süd;
38;183;29.0;317455.644;5689633.851;Ernst Graubner;Ernst Graubner;1061c;348B;;22;Bayersche Straße;;Alt-Leipzig;Sortimentsbuchhandlung;Buchhandel und Verlagswesen;Arthur-Hoffmann-Straße;0;4107.0;5015;0.0;Mitte;3.0;Zentrum-Süd;
39;1096;30.0;317452.998;5689620.622;E. Knorr;E. Knorr;1061d;348C;;24;Bayersche Straße;;Alt-Leipzig;Buchdruckerei;Druckerei und Buchhandel;Arthur-Hoffmann-Straße;0;4107.0;5012;0.0;Mitte;3.0;Zentrum-Süd;
40;1096;30.0;317452.998;5689620.622;E. Knorr;E. Knorr;1061d;348C;;24;Bayersche Straße;;Alt-Leipzig;Verlagsanstalt;Buchhandel und Verlagswesen;Arthur-Hoffmann-Straße;0;4107.0;5012;0.0;Mitte;3.0;Zentrum-Süd;
41;7;31.0;317451.67600000004;5689606.731000001;O. Tieß;Thieß, O.;1062b;349;;26;Bayersche Straße;;Alt-Leipzig;Buchbinderei;Buchbinderhandwerk;Arthur-Hoffmann-Straße;0;4107.0;1062b;0.0;Mitte;3.0;Zentrum-Süd;
42;6;32.0;317401.0832;5689283.0259;H. Laue;Laue, H.;3080;275B;;47;Bayersche Straße;;Alt-Leipzig;Buchbinderei;Buchbinderhandwerk;Arthur-Hoffmann-Straße;47;4107.0;3080;0.0;Mitte;3.0;Zentrum-Süd;
43;178;32.0;317401.0832;5689283.0259;Winkler & Wolfensteller;Winkler & Wolfensteller;3080;275B;;47;Bayersche Straße;;Alt-Leipzig;Buchdruckerei;Druckerei und Buchhandel;Arthur-Hoffmann-Straße;47;4107.0;3080;0.0;Mitte;3.0;Zentrum-Süd;
44;178;32.0;317401.0832;5689283.0259;Winkler & Wolfensteller;Winkler & Wolfensteller;3080;275B;;47;Bayersche Straße;;Alt-Leipzig;Verlagsbuchhandlung;Buchhandel und Verlagswesen;Arthur-Hoffmann-Straße;47;4107.0;3080;0.0;Mitte;3.0;Zentrum-Süd;
45;8;33.0;317391.251099999;5689306.8076;A. Wede;Wede, A.;3079n;274;;58;Bayersche Straße;;Alt-Leipzig;Buchbinderei;Buchbinderhandwerk;Arthur-Hoffmann-Straße;58;4107.0;3079n;0.0;Mitte;3.0;Zentrum-Süd;
46;9;33.0;317391.251099999;5689306.8076;Emil Wede;Wede, Emil;3079n;274;;58;Bayersche Straße;;Alt-Leipzig;Buchbinderei;Buchbinderhandwerk;Arthur-Hoffmann-Straße;58;4107.0;3079n;0.0;Mitte;3.0;Zentrum-Süd;
47;927;34.0;317362.597;5689089.3703;Gebr. Gerhardt;Gebr. Gerhardt, Inh.: Felix Gerhardt;2522e;292B;;63;Bayersche Straße;;Alt-Leipzig;Lith., Buch- und Steindruckerei;Druckerei und Buchhandel;Arthur-Hoffmann-Straße;63;4275.0;2522/3;4.0;Süd;40.0;Südvorstadt;
48;927;34.0;317362.597;5689089.3703;Gebr. Gerhardt;Gebr. Gerhardt, Inh.: Felix Gerhardt;2522e;292B;;63;Bayersche Straße;;Alt-Leipzig;Lithographische Anstalt;Graphische Anstalt;Arthur-Hoffmann-Straße;63;4275.0;2522/3;4.0;Süd;40.0;Südvorstadt;
49;181;35.0;317322.956;5688803.94;Georg Kummer's Verlag;Georg Kummer's Verlag;3159;151;;84;Bayersche Straße;;Alt-Leipzig;Verlagsbuchhandlung;Buchhandel und Verlagswesen;Arthur-Hoffmann-Straße;84a;4275.0;3159;4.0;Süd;40.0;Südvorstadt;
50;1203;35.0;317322.956;5688803.94;Otto Groß;Otto Groß;3159;151;;84;Bayersche Straße;;Alt-Leipzig;Gravieranstalt;Zuliefer- und Hilfsgewerbe;Arthur-Hoffmann-Straße;84a;4275.0;3159;4.0;Süd;40.0;Südvorstadt;
51;1249;35.0;317322.956;5688803.94;Wagner & Schmidt;Wagner & Schmidt, Inh.: Arth. Schmidt;3159;151;;84;Bayersche Straße;;Alt-Leipzig;Gravieranstalt;Zuliefer- und Hilfsgewerbe;Arthur-Hoffmann-Straße;84a;4275.0;3159;4.0;Süd;40.0;Südvorstadt;
52;1741;35.0;317322.956;5688803.94;August Rudert;August Rudert;3159;151;;84;Bayersche Straße;;Alt-Leipzig;Luxuspapierfabrik;Papierhandlung/Papierherstellung;Arthur-Hoffmann-Straße;84a;4275.0;3159;4.0;Süd;40.0;Südvorstadt;
53;180;36.0;317293.969899999;5688234.8792;Hans Licht;Hans Licht;3603;126B;;116;Bayersche Straße;;Alt-Leipzig;Musikalien- u. Buchhandlung;Buchhandel und Verlagswesen;Arthur-Hoffmann-Straße;116;4275.0;4590;4.0;Süd;40.0;Südvorstadt;
54;180;36.0;317293.969899999;5688234.8792;Hans Licht;Hans Licht;3603;126B;;116;Bayersche Straße;;Alt-Leipzig;Sortimentsbuchhandlung;Buchhandel und Verlagswesen;Arthur-Hoffmann-Straße;116;4275.0;4590;4.0;Süd;40.0;Südvorstadt;
55;184;37.0;319920.997999999;5691606.344;R. Schönherr;Schönherr, R.;332;41B5;;30;Bennigsenstraße;1 und 2 - 48;Sellerhausen;Kolportagebuchhandlung;Buchhandel und Verlagswesen;Bennigsenstraße;30;4315.0;332;2.0;Ost;21.0;Volkmarsdorf;
56;185;38.0;319088.5312;5690937.5258;O. Richter;Richter, O.;571a;59;;9;Bergstraße;1 - 27 und 2 - 20;Reudnitz;Versandbuchhandlung;Buchhandel und Verlagswesen;Bergstraße;9;4315.0;571a;2.0;Ost;20.0;Neustadt-Neuschönefeld;
57;1322;38.0;319088.5312;5690937.5258;Felix Hille;Hille, Felix;571a;59;;9;Bergstraße;1 - 27 und 2 - 20;Reudnitz;Kupferdruckerei;Druckerei und Buchhandel;Bergstraße;9;4315.0;571a;2.0;Ost;20.0;Neustadt-Neuschönefeld;
58;10;39.0;319273.1112;5691029.15369999;Arno Siegel;Siegel, Arno;451;1C;;30;Bergstraße;29 - 43 und 22 - 32;Volkmarsdorf;Buchbinderei;Buchbinderhandwerk;Bergstraße;30;4315.0;45l ;2.0;Ost;20.0;Neustadt-Neuschönefeld;
59;186;40.0;319244.620699999;5691019.43009999;Carl Pröhl;Carl Pröhl;45p;1E;;26;Bergstraße;29 - 43 und 22 - 32;Volkmarsdorf;Kolportagebuchhandlung;Buchhandel und Verlagswesen;Bergstraße;26;4315.0;45p;2.0;Ost;20.0;Neustadt-Neuschönefeld;
60;928;41.0;317349.811;5691861.647000001;Louis Müller;Müller, Louis;1899d;1293;;4;Berliner Straße;;Alt-Leipzig;Buchdruckerei;Druckerei und Buchhandel;Berliner Straße;0;4105.0;1899d;0.0;Mitte;6.0;Zentrum-Nord;
61;929;42.0;317487.458899999;5691953.32359999;Walter Graeb;Walter Graeb;2733;32;;7.9;Berliner Straße;;Alt-Leipzig;Buchdruckerei;Druckerei und Buchhandel;Berliner Straße;11;4105.0;2723c und 3814/1;0.0;Mitte;6.0;Zentrum-Nord;
62;930;43.0;319754.616999999;5690868.63609999;P. Vogel;Vogel, P.;114d;29D;;38;Bernhardstraße;1 - 45 und 2 - 50;Anger-Crottendorf;Buchdruckerei;Druckerei und Buchhandel;Bernhardstraße;38;4315.0;114e;2.0;Ost;22.0;Anger-Crottendorf;
63;187;44.0;317306.006;5687047.10969999;Anna Strauß;Strauß, Anna;88c;395C;;51;Biedermannstraße;;Connewitz;Versandbuchhandlung;Buchhandel und Verlagswesen;Biedermannstraße;51;4277.0;88c;4.0;Süd;41.0;Connewitz;
64;190;45.0;317435.24;5691581.257;Carl Jacobsen, Verlagsbuchhandlung;Carl Jacobsen, Verlagsbuchhandlung, Inh.: Carl Eman. Jacobsen;1905f;1258L;;11;Blücherstraße;;Alt-Leipzig;Verlagsbuchhandlung;Buchhandel und Verlagswesen;Kurt-Schumacher-Straße;0;4105.0;4472 und 4473;0.0;Mitte;6.0;Zentrum-Nord;
65;188;46.0;317404.0497;5691731.10909999;W. Voigtländer;Voigtländer, Walter;1905v;1257H;;33;Blücherstraße;;Alt-Leipzig;Verlagsbuchhandlung;Buchhandel und Verlagswesen;Kurt-Schumacher-Straße;33;4105.0;1905v;0.0;Mitte;6.0;Zentrum-Nord;
66;189;47.0;317381.331;5691842.864;Alfred König;Alfred König, Inh.: Paul Barth;1899b;1293C;;45;Blücherstraße;;Alt-Leipzig;Verlagsbuchhandlung;Buchhandel und Verlagswesen;Kurt-Schumacher-Straße;0;4105.0;1899b;0.0;Mitte;6.0;Zentrum-Nord;
67;191;48.0;318405.62;5690791.98949999;J. C. Hinrichs'sche Buchhandlung;J. C. Hinrichs'sche Buchhandlung, Inh. Adolf u. David Rost;1717;899;;2;Blumengasse;;Alt-Leipzig;Verlagsbuchhandlung;Buchhandel und Verlagswesen;Scherlstraße;2;4103.0;1717;0.0;Mitte;1.0;Zentrum-Ost;
68;191;48.0;318405.62;5690791.98949999;J. C. Hinrichs'sche Buchhandlung;J. C. Hinrichs'sche Buchhandlung, Inh. Adolf u. David Rost;99;108/110;;32;Grimmaische Straße;;Alt-Leipzig;Verlagsbuchhandlung;Buchhandel und Verlagswesen;Scherlstraße;2;4103.0;1717;0.0;Mitte;1.0;Zentrum-Ost;
69;194;49.0;318358.127;5690879.48179999;Louis Stefke;Louis Stefke;1703;910;;7;Blumengasse;;Alt-Leipzig;Sortimentsbuchhandlung;Buchhandel und Verlagswesen;Scherlstraße;7;4103.0;1703;0.0;Mitte;1.0;Zentrum-Ost;
70;192;50.0;318373.0925;5690904.25339999;Theosophische Zentralbuchhdlg Hans Fändrich;Theosophische Zentralbuchhandlung Hans Fändrich, Inh.: Heinrich Tränker;1711;904;;12;Blumengasse;;Alt-Leipzig;Verlagsbuchhandlung;Buchhandel und Verlagswesen;Scherlstraße;12;4103.0;1711;0.0;Mitte;1.0;Zentrum-Ost;
71;193;50.0;318373.0925;5690904.25339999;Theosophische Buchhandlung Heinrich Tränker;Theosophische Buchhandlung Heinrich Tränker;1711;904;;12;Blumengasse;;Alt-Leipzig;Sortimentsbuchhandlung;Buchhandel und Verlagswesen;Scherlstraße;12;4103.0;1711;0.0;Mitte;1.0;Zentrum-Ost;
72;195;50.0;318373.0925;5690904.25339999;Akadem. Antiquariat Heinrich Tränker;Akadem. Antiquariat Heinrich Tränker, Inh.: Heinrich Tränker;1711;904;;12;Blumengasse;;Alt-Leipzig;Antiquariatsbuchhandlung;Buchhandel und Verlagswesen;Scherlstraße;12;4103.0;1711;0.0;Mitte;1.0;Zentrum-Ost;
73;931;50.0;318373.0925;5690904.25339999;Gustav Pritz & Co.;Gustav Pritz & Co., Inh.: Gust. Pritz u. Karl Oesterreich;1711;904;;12;Blumengasse;;Alt-Leipzig;Buchdruckerei;Druckerei und Buchhandel;Scherlstraße;12;4103.0;1711;0.0;Mitte;1.0;Zentrum-Ost;
74;11;51.0;318375.16559999896;5690925.12969999;E. Biehl;Biehl, E.;1710;905;;14;Blumengasse;;Alt-Leipzig;Buchbinderei;Buchbinderhandwerk;Scherlstraße;14;4103.0;1710;0.0;Mitte;1.0;Zentrum-Ost;
75;1259;51.0;318375.16559999896;5690925.12969999;Kunst-Anstalt von H. Gustav Brinckmann;Kunst-Anstalt von H. Gustav Brinckmann, Inh.: Paul u. Max Brinckmann;1710;905;;14;Blumengasse;;Alt-Leipzig;Heliogravüre, Kunst-Anstalt;Graphische Anstalt;Scherlstraße;14;4103.0;1710;0.0;Mitte;1.0;Zentrum-Ost;
76;196;52.0;318373.568599999;5690969.3811;Franz Richter;Franz Richter;1707;948;;20;Blumengasse;;Alt-Leipzig;Antiquariatsbuchhandlung;Buchhandel und Verlagswesen;Scherlstraße;20;4103.0;1707;0.0;Mitte;1.0;Zentrum-Ost;
77;1117;53.0;317421.025;5693033.98039999;W. Platzmann;Platzmann, W.;2701i;25D16;;10;Blumenstraße;1 - 15 und 2 - 22;Alt-Leipzig;Versandbuchhandlung;Buchhandel und Verlagswesen;Blumenstraße;10;4105.0;2701i;0.0;Mitte;6.0;Zentrum-Nord;
78;932;54.0;317158.02469999896;5693376.19349999;Friedrich H. Rückbrodt;Friedrich H. Rückbrodt;369p;8E;;62;Blumenstraße;29 - 53 und 40 - 78;Gohlis;Buch- und Akzidenzdruckerei;Druckerei und Buchhandel;Blumenstraße;62;4155.0;369p;9.0;Nord;90.0;Gohlis-Süd;
79;197;55.0;317096.395499999;5693280.02859999;L. A. Klepzig;L. A. Klepzig, Inh.: Alfred Klepzig;369k;4C;;11;Böhmestraße;;Gohlis;Verlagsbuchhandlung;Buchhandel und Verlagswesen;Böhmestraße;11;4155.0;369/3;9.0;Nord;90.0;Gohlis-Süd;
80;933;56.0;317063.090099999;5687488.16999999;Gustav Bertram;Bertram, G.;458h;462C;;5;Bornaische Straße;1 - 91 und 2 - 118;Connewitz;Buchdruckerei;Druckerei und Buchhandel;Bornaische Straße;5;4277.0;458h;4.0;Süd;41.0;Connewitz;
81;198;57.0;317403.274299999;5687238.38099999;Verlags- u. Versandhaus Wilhelm Kaiser;Verlags- u. Versandhaus Wilhelm Kaiser;463v;475;;37;Bornaische Straße;1 - 91 und 2 - 118;Connewitz;Verlagsbuchhandlung;Buchhandel und Verlagswesen;Bornaische Straße;37;4277.0;463/1;4.0;Süd;41.0;Connewitz;
82;199;58.0;317429.644199999;5687200.4438;Deutscher Reform-Verlag Otto Steiniger;Deutscher Reform-Verlag Otto Steiniger;463x;477;;41;Bornaische Straße;1 - 91 und 2 - 118;Connewitz;Verlagsbuchhandlung;Buchhandel und Verlagswesen;Bornaische Straße;41;4277.0;463x;4.0;Süd;41.0;Connewitz;
83;12;59.0;317449.18649999896;5687158.307;H. Burggraf;Burggraf, H.;491c;478;;43;Bornaische Straße;1 - 91 und 2 - 118;Connewitz;Buchbinderei;Buchbinderhandwerk;Bornaische Straße;43;4277.0;491c;4.0;Süd;41.0;Connewitz;
84;200;60.0;317638.433799999;5686559.52569999;Emil Enke;Emil Enke;147i;490B;;108;Bornaische Straße;1 - 91 und 2 - 118;Connewitz;Exportbuchhandlung;Buchhandel und Verlagswesen;Bornaische Straße;108;4277.0;147i;4.0;Süd;41.0;Connewitz;
85;201;61.0;316723.3568;5690926.9557;J. F. Koesters Verlagsbüro;Koesters, J. F., Verlagsbur.;3303;1510B;;3;Bosestraße;;Alt-Leipzig;Verlagsbuchhandlung;Buchhandel und Verlagswesen;Bosestraße;3;4109.0;3303;0.0;Mitte;4.0;Zentrum-West;
86;202;62.0;318204.549;5691574.6620000005;Georg Bernhardt;Georg Bernhardt, Inh.: Max Biering;1833;1170;;14/16;Brandenburger Straße;1-9 u. 2-22;Alt-Leipzig;Sortimentsbuchhandlung;Buchhandel und Verlagswesen;Brandenburger Straße;14/16a;4103.0;1833;0.0;Mitte;1.0;Zentrum-Ost;
87;934;63.0;316608.50989999896;5689125.64299999;P. Träger;Träger, P.;2531g;4J;;16;Brandvorwerkstraße;;Alt-Leipzig;Buchbinderei;Buchbinderhandwerk;Brandvorwerkstraße;16;4275.0;2531g;4.0;Süd;40.0;Südvorstadt;
88;934;63.0;316608.50989999896;5689125.64299999;P. Träger;Träger, P.;2531g;4J;;16;Brandvorwerkstraße;;Alt-Leipzig;Buch- u. Steindruckerei;Druckerei und Buchhandel;Brandvorwerkstraße;16;4275.0;2531g;4.0;Süd;40.0;Südvorstadt;
89;204;64.0;316589.3716;5689058.55169999;Ernst Marré, Orient-Verlag;Ernst Marré, Orient-Verlag;2531s;4L6;;22;Brandvorwerkstraße;;Alt-Leipzig;Verlagsbuchhandlung;Buchhandel und Verlagswesen;Brandvorwerkstraße;22;4275.0;2531s;4.0;Süd;40.0;Südvorstadt;
90;203;65.0;316566.0153;5688861.62209999;Emil Zehl;Zehl, Emil;2530e;159B;;38;Brandvorwerkstraße;;Alt-Leipzig;Verlagsbuchhandlung;Buchhandel und Verlagswesen;Brandvorwerkstraße;38;4275.0;2530/13, /15, /17 und /19;4.0;Süd;40.0;Südvorstadt;
